I reviewed both transcripts and extracted only the actions/corrections related to the **scholarship project**. I excluded the lead/partner project items.

## Scholarship project — full action/correction list

| Area                                       | Action / correction suggested                                                                                                                                                            | Why / note                                                                                                                       | Source |
| **University/program/semester activation** | Keep the ability to deactivate universities, degree programs, and semesters while preserving historical data.                                                                            | Prevents new assignment while keeping past student records intact.                                                               |        |
| **Student import**                         | Add a downloadable student import template with **3 example records**.                                                                                                                   | Makes import easier and prevents format mistakes.                                                                                |        |
| **University import/export template**      | Make university import/export user-friendly, especially because universities, semesters, and degree programs may require multiple CSVs or an Excel file with multiple sheets.            | The client may not be technical, so the template must be simple and clear.                                                       |        |
| **Responsive design**                      | Ensure both student and admin interfaces are responsive/mobile-friendly.                                                                                                                 | Student mobile view looked clean, but admin also needs to be usable on phone.                                                    |        |
| **Mobile form UX**                         | Multi-step form is especially important on mobile.                                                                                                                                       | Long forms are too tedious on phone.                                                                                             |        |
| **Profile image upload**                   | Test profile image upload/edit properly.                                                                                                                                                 | Masdouk specifically asked to make sure upload works because users will interact with it.                                        |        |

## Priority order I recommend

**First priority:** security and blockers: admin Clerk/Replit auth, remove test credentials, fix Replit deployment/student profile loading, and re-enable password reset.

**Second priority:** core scholarship workflow: multi-step submission form, request pipeline alignment, upload preview/download, internal notes save, and full QA testing.

**Third priority:** UI polish: dashboard cleanup, students table cleanup, student profile/cards/sidebar redesign, archive color, save button alignment, and moving “Latest Submission: Paid”.

**Fourth priority:** admin data management: student import template, university import/export template, responsive admin view, and university/program/semester activation logic.
